               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027146,            0.014027,                   0,             0.87149,             0.88199,             0.89588,             0.66199,            0.021093,           0.0052302,                   0,            0.070102,            0.003322,            0.003322
                   1,            0.027657,            0.014077,                   0,             0.87038,             0.86421,             0.89107,             0.64433,            0.021544,           0.0051853,                   0,             0.04008,           0.0066333,           0.0066333
                   2,            0.030644,              0.0147,                   0,             0.83508,              0.8686,             0.86229,             0.57712,            0.025231,           0.0057714,                   0,            0.010036,           0.0099227,           0.0099227
                   3,            0.034179,            0.016528,                   0,              0.8038,             0.82544,             0.80647,             0.52351,            0.024773,           0.0062542,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.033476,            0.016287,                   0,             0.77956,             0.77493,             0.79297,             0.51302,            0.026398,           0.0063573,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.033984,            0.016695,                   0,             0.80775,             0.81065,             0.82752,             0.53909,            0.024595,           0.0061099,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.033044,            0.016132,                   0,             0.78098,              0.7655,             0.79606,             0.53576,            0.024152,           0.0061685,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.032493,            0.015632,                   0,             0.83973,             0.82412,             0.85094,             0.57188,            0.024101,           0.0059542,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.031718,            0.015745,                   0,             0.83055,             0.81909,             0.83076,             0.57482,            0.024353,           0.0058174,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.032363,            0.015731,                   0,             0.83775,              0.8403,             0.86508,             0.59074,             0.02404,           0.0056775,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.03206,            0.015688,                   0,             0.85187,             0.82008,             0.85719,             0.57502,            0.024167,           0.0058341,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.032149,            0.015466,                   0,             0.84622,             0.85286,             0.87145,             0.61336,             0.02288,           0.0058199,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.030766,            0.015188,                   0,             0.86453,             0.86658,             0.87955,              0.6131,             0.02267,           0.0055304,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.031286,            0.015094,                   0,             0.81959,             0.83423,             0.84344,             0.56954,            0.022622,           0.0058555,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.030753,             0.01464,                   0,             0.84296,             0.84276,             0.86098,             0.58955,            0.024153,           0.0058774,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.030643,             0.01549,                   0,             0.85003,             0.83644,             0.85599,               0.607,            0.022616,           0.0056414,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.030069,            0.015267,                   0,              0.8473,             0.85622,             0.86634,             0.60784,            0.022814,           0.0055406,                   0,            0.009505,            0.009505,            0.009505
