timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712144177554,728,HTTP Request,200,Ok,Thread Group 1-1,text,true,,14691,899,2,2,https://images.yandex.ru/showcaptcha?cc=1&mt=D296C2820FD6F9AC1518735DF4FA94769D1083BA9CDD5321B03AE2EEDCC9B727514FE2A22EF23F2BEA6C6F8B6A1F4D9D58D30E292D089AC956371A2408519DE406CF0AD57094772323FDBA952D2BCE6762B43C0479283412C5151CB6927D654BD7ABD10B6770CC45ACD2B39ECF43FD5BA1B7EDE9E7AFC322FC3E497C55EEAB0D19B03034E11F6D313A6B239B105CFF6B68F80B45A643DF68AE1422EF39EF94ECEF1C2F5D360199AF4717923BBCC7BF705A05A944FC4B728E20A86F71B5FF36CA4C528B1C3913395BC1D96485FF75C15B716D1162939C5B505E1E842306&retpath=aHR0cHM6Ly9pbWFnZXMueWFuZGV4LnJ1Lz8%2C_e8fae545b1da477333d0af0d30e299d6&t=2/1712144178/c0b7482084c2af23866bf4354c7964bf&u=f3a91511-1bc5e248-4fe23651-ad040d6f&s=927c9c8ab902e9c710fda24cb384253e,623,0,590
1712144177554,623,HTTP Request-0,302,Moved temporarily,Thread Group 1-1,,true,,1417,118,2,2,https://images.yandex.ru/,623,0,590
1712144178177,105,HTTP Request-1,200,Ok,Thread Group 1-1,text,true,,13274,781,2,2,https://images.yandex.ru/showcaptcha?cc=1&mt=D296C2820FD6F9AC1518735DF4FA94769D1083BA9CDD5321B03AE2EEDCC9B727514FE2A22EF23F2BEA6C6F8B6A1F4D9D58D30E292D089AC956371A2408519DE406CF0AD57094772323FDBA952D2BCE6762B43C0479283412C5151CB6927D654BD7ABD10B6770CC45ACD2B39ECF43FD5BA1B7EDE9E7AFC322FC3E497C55EEAB0D19B03034E11F6D313A6B239B105CFF6B68F80B45A643DF68AE1422EF39EF94ECEF1C2F5D360199AF4717923BBCC7BF705A05A944FC4B728E20A86F71B5FF36CA4C528B1C3913395BC1D96485FF75C15B716D1162939C5B505E1E842306&retpath=aHR0cHM6Ly9pbWFnZXMueWFuZGV4LnJ1Lz8%2C_e8fae545b1da477333d0af0d30e299d6&t=2/1712144178/c0b7482084c2af23866bf4354c7964bf&u=f3a91511-1bc5e248-4fe23651-ad040d6f&s=927c9c8ab902e9c710fda24cb384253e,103,0,0
1712144178456,134,HTTP Request,200,Ok,Thread Group 1-2,text,true,,14689,899,2,2,https://video.yandex.ru/showcaptcha?cc=1&mt=7F471B91118E90461460694CC8EAC1EC282F7E250D229ABD3414BE2059374D4E86A5DF5DC203CE1796A3AFD834BC161BA3AB54EAA673B54A1A81DA3587B9146D6A128D3730EBCD5BBCA5280F35B16BB77A0DD1331F6A62877FCD228C52F7D1B6030AC814800A95241E407FBF06DCF4551E54E04E055CC397530B2D98A738C9FE9F399C7F5A92BFE6891662A74871DAA87924C4FDCD2ECB0197671A147A76BBE4151722DAAD81780B1343E02E21BFC9C84DBBCCDDA95CCC476608940F4414FC8D108190A9F68A6D68F434EDF88BBF1A0D27AE0CF2C168B2240F8894BD85&retpath=aHR0cHM6Ly92aWRlby55YW5kZXgucnUvPw%2C%2C_abe0e805592188bfa9cf7920c27467ce&t=2/1712144178/0c71b889199534bb54b9f0e369dba5f5&u=9cfe7e3b-260df146-5f150c57-e1468050&s=4ed7d137c45169aea981f0e778d5838e,69,0,51
1712144178456,69,HTTP Request-0,302,Moved temporarily,Thread Group 1-2,,true,,1416,117,2,2,https://video.yandex.ru/,69,0,51
1712144178525,65,HTTP Request-1,200,Ok,Thread Group 1-2,text,true,,13273,782,2,2,https://video.yandex.ru/showcaptcha?cc=1&mt=7F471B91118E90461460694CC8EAC1EC282F7E250D229ABD3414BE2059374D4E86A5DF5DC203CE1796A3AFD834BC161BA3AB54EAA673B54A1A81DA3587B9146D6A128D3730EBCD5BBCA5280F35B16BB77A0DD1331F6A62877FCD228C52F7D1B6030AC814800A95241E407FBF06DCF4551E54E04E055CC397530B2D98A738C9FE9F399C7F5A92BFE6891662A74871DAA87924C4FDCD2ECB0197671A147A76BBE4151722DAAD81780B1343E02E21BFC9C84DBBCCDDA95CCC476608940F4414FC8D108190A9F68A6D68F434EDF88BBF1A0D27AE0CF2C168B2240F8894BD85&retpath=aHR0cHM6Ly92aWRlby55YW5kZXgucnUvPw%2C%2C_abe0e805592188bfa9cf7920c27467ce&t=2/1712144178/0c71b889199534bb54b9f0e369dba5f5&u=9cfe7e3b-260df146-5f150c57-e1468050&s=4ed7d137c45169aea981f0e778d5838e,65,0,0
1712144178974,227,HTTP Request,200,Ok,Thread Group 1-1,text,true,,14661,888,3,3,https://maps.yandex.ru/showcaptcha?cc=1&mt=B312044EE4090D9F07617ABDFA0BC0CFF857CCB620CCD5181CE110BD56D2546BDFAF938B90A6DE675DE3E0FDA1BA4AFEF4598E4087AF8ECC0486039D0874FE11352EB1B43CADF14E77BB5D4477746246040BF4A3C5EF2342E56639B54FA8A982D53AC50338A79E77D35261771558BEE830DD9F1BAD962331BA24A45293C57613A321ED8E89933353E9DE845FD56A4571C00080E437EA26A0DDEDBDD47BEA4544B088B18F03C4AAEA1CD21FF991540F1A5D63E30EA7F02789E5D363007A33AC6624F6209AC15192BCCFD970B868BB7870B9244A5540FBFA2ED2D7F6071D&retpath=aHR0cHM6Ly9tYXBzLnlhbmRleC5ydS8__ec3eb6033c0df544e780bf7fa34d0b65&t=2/1712144179/6781e340d45dcc61000a6283f013cf07&u=1051ffd2-9576c43-5ecf333c-96ed153a&s=cc9b7a1847a49fc0a093554b60534712,77,0,56
1712144178974,77,HTTP Request-0,302,Moved temporarily,Thread Group 1-1,,true,,1407,116,3,3,https://maps.yandex.ru/,77,0,56
1712144179052,149,HTTP Request-1,200,Ok,Thread Group 1-1,text,true,,13254,772,3,3,https://maps.yandex.ru/showcaptcha?cc=1&mt=B312044EE4090D9F07617ABDFA0BC0CFF857CCB620CCD5181CE110BD56D2546BDFAF938B90A6DE675DE3E0FDA1BA4AFEF4598E4087AF8ECC0486039D0874FE11352EB1B43CADF14E77BB5D4477746246040BF4A3C5EF2342E56639B54FA8A982D53AC50338A79E77D35261771558BEE830DD9F1BAD962331BA24A45293C57613A321ED8E89933353E9DE845FD56A4571C00080E437EA26A0DDEDBDD47BEA4544B088B18F03C4AAEA1CD21FF991540F1A5D63E30EA7F02789E5D363007A33AC6624F6209AC15192BCCFD970B868BB7870B9244A5540FBFA2ED2D7F6071D&retpath=aHR0cHM6Ly9tYXBzLnlhbmRleC5ydS8__ec3eb6033c0df544e780bf7fa34d0b65&t=2/1712144179/6781e340d45dcc61000a6283f013cf07&u=1051ffd2-9576c43-5ecf333c-96ed153a&s=cc9b7a1847a49fc0a093554b60534712,149,0,0
1712144179148,225,HTTP Request,200,Ok,Thread Group 1-2,text,true,,14811,897,2,2,https://games.yandex.ru/showcaptcha?cc=1&mt=D9E0D088EBE8053984E1EFEE955291CD4CC3383F397AEAFD500C27B961E5E25B957040BE0B5D0589CEE22CD4C1745E53FEDF26DC61BF1A75307CFCE6FBE0D4097E576A86B61C4EEE59085621B40DEE2B4902A932217679F86252E706BF9A6D1E04F6F6633698BA0E9757FCE128144F230A757875D1A6248D3DC74811F50B7631EC0601A9D391879D5533C0452EEFB968A241E6AEF5AC07538C15E48375E205CA4A5637248E5D56F65FC85A96A897985D770690DCB67CC0C212CD07F850A8154DDE8D5A99819B733B16807624AB09B5B59C9A96E7434EBA601C502DAED4&retpath=aHR0cHM6Ly9nYW1lcy55YW5kZXgucnUvPw%2C%2C_ad352ed9770239ee20b6cccef8352d8b&t=2/1712144179/8142ffd969859b5f885a74f6ae99a917&u=8c2b77d-b271b357-88c6eef-4ad755b6&s=20d658cdb84e8b942131ba31bc79c2e8,169,0,140
